text,label
Congratulations! You have won a free lottery ticket,spam
Earn money fast working from home,spam
Limited time offer! Buy now and get 80% off,spam
Your account has been compromised. Click to secure it,spam
Win cash prizes instantly. Click here,spam
Cheap medicines available online without prescription,spam
You have been selected for a special reward,spam
Claim your free vacation now,spam
Get rich quick scheme! Join today,spam
Urgent: Update your banking details immediately,spam
"Hi John, can we meet tomorrow?",ham
Please send the report by evening,ham
Let’s have lunch together this Friday,ham
Your order has been shipped successfully,ham
Reminder for your doctor appointment,ham
Project meeting scheduled at 10 AM,ham
Can you review my code?,ham
Happy birthday! Have a great day,ham
Your subscription has been renewed,ham
Thanks for your help yesterday,ham
